experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,hand,target_hit,final_ball_state,type,target_position_x,target_position_y,target_position_z,target_angle,target_width,launch_direction,side_water_force,forward_water_force,water_speed_m/s,launch_angle,launch_angle_error,launch_Speed,ball_pos_x,ball_pos_z,ball_error_x,final_ball_pos_x,final_ball_pos_z,ball_time,turning_absolute_x,turning_absolute_y,distance_from_target,leftPole_position_x,leftPole_position_z,leftPole_distance_from_ball,rightPole_position_x,rightPole_position_z,rightPole_distance_from_ball,min_pos_from_target_x,min_pos_from_target_z,total_score,step_0_time,step_1_time,step_2_time
projectile_experiment ,123,1,1,1,1,14.26993,31.39092,r,FALSE,To the right,projectile,-0.406963,-0.164,2.308,-10,0.125943,(0.03_ 0.46_ 0.89),0,0,0,88.16499,78.16499,1.3294,0.000480_0.000960_0.001920_0.002400_0.003360_0.003840_0.004321_0.005281_0.005761_0.006585_0.006928_0.007271_0.007956_0.008299_0.008985_0.009328_0.009671_0.010357_0.010700_0.011385_0.011728_0.012071_0.012757_0.013100_0.013443_0.014129_0.014471_0.015157_0.015500_0.015843_0.016529_0.016872_0.017557_0.017900_0.018243_0.018929_0.019272_0.019958_0.020301_0.020644_0.021329_0.021672_0.022358_0.022701_0.023044_0.023730_0.024073_0.024415_0.025101_0.025444_0.026130_0.026473_0.026816_0.027502_0.027844_0.028530_0.028873_0.029216_0.029902_0.030245_0.030931_0.031273_0.031616_0.032302_0.032645_0.033331_0.033674_0.034017_0.034702_0.035045_0.035731_0.036074_0.036417_0.037103_0.037446_0.037788_0.038474_0.038817_0.039503_0.039846_0.040189_0.040875_0.041217_0.041903_0.042246_0.042589_0.043275_0.043618_0.044304_0.044646_0.044989_0.045675_0.046018_0.046704_0.047047_0.047390_0.048075_0.048418_0.049104_0.049447_0.049790_0.050476_0.050819_0.051162_0.051847_0.052190_0.052876_0.053219_0.053562_0.054248_0.054590_0.055276_0.055619_0.055962_0.056648_0.056991_0.057677_0.058019_0.058362_0.059048_0.059391_0.060077_0.060420_0.060763_0.061448_0.061791_0.062134_0.062820_0.063163_0.063849_0.064192_0.064535_0.065220_0.065563_0.066249_0.066592_0.066935_0.067621_0.067964_0.068649_0.068992_0.069335_0.070021_0.070364_0.071050_0.071392_0.071735_0.072421_0.072764_0.073107_0.073793_0.074136_0.074821_0.075164_0.075507_0.076193_0.076536,0.013285_0.026571_0.053141_0.066427_0.092997_0.106283_0.119568_0.146139_0.159424_0.182229_0.191719_0.201208_0.220187_0.229677_0.248656_0.258145_0.267635_0.286614_0.296103_0.315082_0.324572_0.334061_0.353040_0.362530_0.372019_0.390998_0.400488_0.419467_0.428956_0.438446_0.457425_0.466915_0.485894_0.495383_0.504873_0.523852_0.533341_0.552320_0.561810_0.571299_0.590278_0.599768_0.618747_0.628237_0.637726_0.656705_0.666195_0.675684_0.694663_0.704153_0.723132_0.732622_0.742111_0.761090_0.770580_0.789559_0.799048_0.808538_0.827517_0.837006_0.855986_0.865475_0.874965_0.893944_0.903433_0.922412_0.931902_0.941391_0.960370_0.969860_0.988839_0.998329_1.007818_1.026797_1.036287_1.045776_1.064755_1.074245_1.093224_1.102713_1.112203_1.131182_1.140671_1.159651_1.169140_1.178630_1.197609_1.207098_1.226077_1.235567_1.245056_1.264035_1.273525_1.292504_1.301994_1.311483_1.330462_1.339952_1.358931_1.368420_1.377910_1.396889_1.406379_1.415868_1.434847_1.444337_1.463316_1.472805_1.482295_1.501274_1.510763_1.529742_1.539232_1.548722_1.567701_1.577190_1.596169_1.605659_1.615148_1.634127_1.643617_1.662596_1.672086_1.681575_1.700554_1.710044_1.719533_1.738512_1.748002_1.766981_1.776470_1.785960_1.804939_1.814429_1.833408_1.842897_1.852387_1.871366_1.880855_1.899834_1.909324_1.918813_1.937793_1.947282_1.966261_1.975751_1.985240_2.004219_2.013709_2.023198_2.042177_2.051667_2.070646_2.080136_2.089625_2.108604_2.118094,0.483499,0.076536,2.118094,28.495680_28.509690_28.523590_28.538330_28.551550_28.565410_28.579220_28.593200_28.607200_28.621190_28.634950_28.648910_28.662750_28.676790_28.690650_28.704500_28.718500_28.732320_28.746270_28.760230_28.774200_28.788120_28.801990_28.815860_28.829830_28.843660_28.857670_28.871520_28.885680_28.899490_28.913250_28.927160_28.941160_28.955050_28.969000_28.982950_28.996880_29.010860_29.024640_29.038610_29.052390_29.066320_29.080240_29.094310_29.108180_29.122080_29.136050_29.149980_29.163810_29.177830_29.191640_29.205660_29.219440_29.233520_29.247470_29.261360_29.275200_29.289180_29.303140_29.317120_29.330950_29.345020_29.358740_29.372890_29.386780_29.400560_29.414680_29.428560_29.442390_29.456300_29.470230_29.484140_29.497990_29.511930_29.525890_29.539830_29.553760_29.567700_29.581640_29.595490_29.609550_29.623410_29.637310_29.651210_29.665140_29.679100_29.693080_29.707150_29.720960_29.734820_29.748750_29.762630_29.776480_29.790460_29.804360_29.818290_29.832240_29.846210_29.860140_29.874190_29.887920_29.901940_29.915850_29.929720_29.943700_29.957430_29.971440_29.985310_29.999320_30.013180_30.027070_30.040960_30.054970_30.068790_30.082780_30.096650_30.110650_30.124420_30.138300_30.152240_30.166100_30.180060_30.194100_30.207900_30.221780_30.235790_30.249630_30.263590_30.277570_30.291440_30.305360_30.319240_30.333260_30.347110_30.361070_30.374970_30.388920_30.402810_30.416900_30.430860_30.444540_30.458390_30.472530_30.486320_30.500220_30.514180_30.528080_30.541940_30.555950_30.569950_30.583680_30.597710_30.611660_30.625430_30.639680_30.653310_30.667180,0.076536,2.118094,0.422336,-0.077031,2.157563,0.158558,0.048911,2.157563,0.048176,0.076536,2.118094,0,28.3012,28.49,30.66718
projectile_experiment ,123,1,2,1,2,31.39092,33.47953,r,TRUE,Hit,projectile,-0.840043,-0.164,2.308,-20,0.125943,(-0.33_ -0.15_ 0.93),0,0,0,109.4149,89.41491,4.013639,-0.026978_-0.040467_-0.053956_-0.080934_-0.094422_-0.121400_-0.134889_-0.148378_-0.175356_-0.187114_-0.206401_-0.216036_-0.225671_-0.244940_-0.254575_-0.273845_-0.283480_-0.293115_-0.312385_-0.322020_-0.331655_-0.350925_-0.360560_-0.379830_-0.389465_-0.399100_-0.418369_-0.428004_-0.447274_-0.456909_-0.466544_-0.485814_-0.495449_-0.514719_-0.524354_-0.533989_-0.553258_-0.562893_-0.582163_-0.591798_-0.601433_-0.620703_-0.630338_-0.649608_-0.659243_-0.668877_-0.688147_-0.697782_-0.707417_-0.726687_-0.736322_-0.755592_-0.765227,0.075604_0.113406_0.151207_0.226811_0.264613_0.340217_0.378018_0.415820_0.491424_0.524375_0.578425_0.605426_0.632427_0.686430_0.713431_0.767434_0.794435_0.821437_0.875439_0.902441_0.929442_0.983445_1.010446_1.064448_1.091450_1.118451_1.172453_1.199455_1.253457_1.280459_1.307460_1.361463_1.388464_1.442467_1.469468_1.496470_1.550472_1.577474_1.631477_1.658478_1.685479_1.739482_1.766483_1.820486_1.847488_1.874489_1.928492_1.955493_1.982494_2.036497_2.063498_2.117501_2.144503,0.074816,-0.765227,2.144503,32.031490_32.045220_32.059150_32.073220_32.087970_32.100920_32.115310_32.128830_32.142730_32.156650_32.170530_32.184540_32.198600_32.212390_32.226190_32.240160_32.254170_32.268110_32.281970_32.295980_32.309830_32.323710_32.337670_32.351590_32.365490_32.379410_32.393380_32.407350_32.421230_32.435460_32.449390_32.462860_32.476780_32.490700_32.504630_32.518720_32.532640_32.546490_32.560410_32.574540_32.588380_32.602260_32.616300_32.630130_32.644030_32.657890_32.671850_32.685830_32.699860_32.713690_32.727650_32.741590_32.755520,0.076536,2.118094,0,-0.077031,2.157563,0.688319,0.048911,2.157563,0.814242,-0.765227,2.144503,5,31.98959,32.02,32.75552
projectile_experiment ,123,1,3,1,3,33.47953,35.3591,r,TRUE,Hit,projectile,-0.406963,-0.164,2.308,-10,0.125943,(-0.18_ -0.04_ 0.98),0,0,0,100.4242,90.4242,4.403636,-0.007252_-0.021756_-0.029008_-0.043513_-0.050765_-0.058017_-0.072521_-0.079773_-0.094277_-0.100681_-0.105871_-0.116231_-0.121411_-0.126591_-0.136951_-0.142132_-0.152492_-0.157672_-0.162852_-0.173212_-0.178392_-0.188752_-0.193932_-0.199112_-0.209473_-0.214653_-0.225013_-0.230193_-0.235373_-0.245733_-0.250913_-0.261273_-0.266453_-0.271633_-0.281993_-0.287174_-0.292354_-0.302714_-0.307894_-0.318254_-0.323434_-0.328614_-0.338974_-0.344154_-0.354514_-0.359694,0.043435_0.130305_0.173740_0.260611_0.304046_0.347481_0.434351_0.477786_0.564656_0.603011_0.634095_0.696145_0.727170_0.758195_0.820245_0.851270_0.913320_0.944345_0.975370_1.037421_1.068446_1.130496_1.161521_1.192546_1.254596_1.285621_1.347671_1.378696_1.409721_1.471771_1.502796_1.564847_1.595872_1.626897_1.688947_1.719972_1.750997_1.813047_1.844072_1.906122_1.937147_1.968172_2.030222_2.061248_2.123298_2.154323,0.047269,-0.359694,2.154323,34.008640_34.022530_34.036390_34.050260_34.064210_34.078170_34.092060_34.106090_34.120140_34.133960_34.147760_34.161700_34.176480_34.189590_34.203560_34.217460_34.231450_34.245210_34.259210_34.273140_34.287060_34.300950_34.314970_34.328780_34.342750_34.356700_34.370740_34.384570_34.398430_34.412720_34.426330_34.440370_34.454210_34.468110_34.482030_34.495960_34.509820_34.523820_34.537650_34.551610_34.565610_34.579450_34.593590_34.607290_34.621230_34.635300,0.076536,2.118094,0,-0.077031,2.157563,0.282682,0.048911,2.157563,0.408618,-0.359694,2.154323,10,33.95287,34,34.6353
projectile_experiment ,123,1,4,1,4,35.3591,37.43359,r,TRUE,To the right,projectile,0,-0.164,2.308,0,0.125943,(0.04_ -0.08_ 1.00),0,0,0,87.88374,87.88374,3.34713,0.001487_0.002975_0.005950_0.007437_0.008925_0.011900_0.013387_0.016362_0.017850_0.019337_0.021660_0.022723_0.024848_0.025910_0.026973_0.029098_0.030160_0.032285_0.033348_0.034410_0.036535_0.037598_0.039723_0.040785_0.041848_0.043972_0.045035_0.047160_0.048222_0.049285_0.051410_0.052472_0.053535_0.055660_0.056722_0.058847_0.059910_0.060972_0.063097_0.064160_0.066285_0.067347_0.068410_0.070535_0.071597_0.073722_0.074785_0.075847_0.077972_0.079035_0.081160_0.082222_0.083285_0.085410_0.086472_0.087535_0.089660_0.090722_0.092847_0.093910_0.094972,0.033438_0.066876_0.133753_0.167191_0.200629_0.267506_0.300944_0.367821_0.401259_0.434697_0.486909_0.510794_0.558563_0.582447_0.606332_0.654100_0.677985_0.725754_0.749638_0.773522_0.821291_0.845176_0.892945_0.916829_0.940713_0.988482_1.012367_1.060135_1.084020_1.107904_1.155673_1.179557_1.203442_1.251211_1.275095_1.322864_1.346749_1.370633_1.418403_1.442287_1.490056_1.513940_1.537825_1.585594_1.609478_1.657247_1.681131_1.705016_1.752785_1.776670_1.824439_1.848323_1.872207_1.919976_1.943861_1.967745_2.015514_2.039399_2.087168_2.111052_2.134937,0.094972,0.094972,2.134937,35.874250_35.888170_35.902170_35.916080_35.929970_35.943910_35.957850_35.971890_35.985730_35.999630_36.013550_36.027590_36.041480_36.056390_36.069360_36.083220_36.096800_36.110840_36.124700_36.138600_36.152450_36.166550_36.180550_36.194340_36.208190_36.222130_36.236080_36.250360_36.264350_36.277890_36.291850_36.305740_36.319820_36.333730_36.347520_36.361550_36.375250_36.389260_36.403220_36.417040_36.431040_36.444980_36.458950_36.472810_36.486680_36.500740_36.514770_36.528550_36.542400_36.556360_36.570330_36.584260_36.598160_36.612010_36.625990_36.639980_36.653800_36.667760_36.681700_36.695580_36.709510,0.094972,2.134937,0.039159,-0.077031,2.157563,0.173486,0.048911,2.157563,0.051318,0.094972,2.134937,10,35.81879,35.87,36.70951
projectile_experiment ,123,1,5,1,5,37.43359,39.57757,r,TRUE,Hit,projectile,-0.840043,-0.164,2.308,-20,0.125943,(-0.36_ 0.17_ 0.92),0,0,0,111.3781,91.37807,3.293387,-0.011525_-0.023050_-0.046101_-0.057626_-0.080676_-0.092201_-0.103726_-0.126777_-0.138302_-0.159550_-0.167794_-0.176026_-0.192490_-0.200723_-0.208955_-0.225419_-0.233652_-0.250116_-0.258348_-0.266581_-0.283045_-0.291277_-0.307742_-0.315974_-0.324206_-0.340671_-0.348903_-0.365368_-0.373600_-0.381832_-0.398296_-0.406529_-0.422993_-0.431225_-0.439458_-0.455922_-0.464154_-0.472387_-0.488851_-0.497083_-0.513548_-0.521780_-0.530012_-0.546477_-0.554709_-0.571173_-0.579406_-0.587638_-0.604102_-0.612335_-0.628799_-0.637031_-0.645264_-0.661728_-0.669960_-0.686425_-0.694657_-0.702889_-0.719354_-0.727586_-0.744050_-0.752283_-0.760515_-0.776979_-0.785212_-0.793444_-0.801676,0.030851_0.061703_0.123406_0.154257_0.215960_0.246811_0.277663_0.339366_0.370217_0.427095_0.449164_0.471200_0.515274_0.537311_0.559347_0.603421_0.625458_0.669531_0.691568_0.713604_0.757678_0.779715_0.823788_0.845825_0.867862_0.911935_0.933972_0.978045_1.000082_1.022119_1.066192_1.088229_1.132303_1.154339_1.176376_1.220450_1.242487_1.264523_1.308597_1.330634_1.374707_1.396744_1.418781_1.462855_1.484891_1.528965_1.551002_1.573038_1.617112_1.639149_1.683222_1.705259_1.727296_1.771370_1.793406_1.837480_1.859517_1.881554_1.925627_1.947664_1.991737_2.013774_2.035811_2.079885_2.101921_2.123958_2.145995,0.038367,-0.801676,2.145995,37.934790_37.948710_37.962560_37.976490_37.990450_38.004350_38.018280_38.032250_38.046200_38.060030_38.073970_38.087890_38.101890_38.115810_38.129670_38.144480_38.157570_38.171520_38.185360_38.199410_38.213220_38.227200_38.241240_38.255040_38.268910_38.282810_38.296700_38.310640_38.324530_38.338390_38.352420_38.366360_38.380260_38.394140_38.408000_38.422010_38.435890_38.449790_38.463930_38.477680_38.491600_38.505470_38.519480_38.533380_38.547260_38.561320_38.575320_38.588970_38.602890_38.616910_38.630680_38.644650_38.658650_38.672580_38.686490_38.700480_38.714260_38.728280_38.742260_38.756220_38.770070_38.784050_38.798050_38.811860_38.825750_38.839780_38.853670,0.094972,2.134937,0,-0.077031,2.157563,0.724737,0.048911,2.157563,0.850666,-0.801676,2.145995,15,37.87908,37.93,38.85367
projectile_experiment ,123,1,6,1,6,39.57757,41.90253,r,FALSE,To the left,projectile,0,-0.164,2.308,0,0.125943,(-0.06_ -0.07_ 1.00),0,0,0,93.55289,93.55289,4.352777,-0.005590_-0.008385_-0.011179_-0.016769_-0.019564_-0.025154_-0.027949_-0.033538_-0.036333_-0.038797_-0.042794_-0.044790_-0.046787_-0.050779_-0.052776_-0.056768_-0.058765_-0.060761_-0.064754_-0.066750_-0.070743_-0.072739_-0.074735_-0.078728_-0.080724_-0.084717_-0.086713_-0.088709_-0.092702_-0.094698_-0.096695_-0.100688_-0.102684_-0.106677_-0.108673_-0.110669_-0.114662_-0.116658_-0.120651_-0.122647_-0.124644_-0.128636_-0.130633_-0.134625_-0.136622_-0.138618,0.086876_0.130314_0.173752_0.260628_0.304066_0.390942_0.434380_0.521255_0.564693_0.602991_0.665104_0.696131_0.727158_0.789212_0.820239_0.882293_0.913320_0.944347_1.006401_1.037428_1.099483_1.130510_1.161537_1.223591_1.254618_1.316672_1.347699_1.378726_1.440781_1.471808_1.502835_1.564889_1.595916_1.657970_1.688997_1.720024_1.782079_1.813106_1.875160_1.906187_1.937214_1.999268_2.030295_2.092349_2.123376_2.154403,-0.138618,-0.138618,2.154403,40.552100_40.566100_40.579910_40.593980_40.607800_40.621690_40.635590_40.650490_40.663430_40.677410_40.691240_40.705200_40.719130_40.733090_40.747030_40.760910_40.774870_40.788730_40.802660_40.816600_40.830650_40.844610_40.858480_40.872330_40.886230_40.900210_40.914080_40.928000_40.941940_40.955880_40.969690_40.983550_40.997720_41.011540_41.025370_41.039280_41.053460_41.067290_41.081020_41.094970_41.109020_41.122930_41.136730_41.150730_41.164730_41.178660,0.094972,2.134937,0.075752,-0.077031,2.157563,0.061667,0.048911,2.157563,0.187556,-0.138618,2.154403,15,40.48244,40.54,41.17866
projectile_experiment ,123,1,7,2,1,41.90253,43.9075,r,TRUE,Hit,projectile,0,-0.164,2.308,0,0.125943,(-0.05_ -0.01_ 1.00),0,0,0,92.94137,92.94137,3.587766,-0.001263_-0.003789_-0.005052_-0.006315_-0.008840_-0.010103_-0.012629_-0.013892_-0.015155_-0.017500_-0.018403_-0.020207_-0.021109_-0.022012_-0.023816_-0.024718_-0.026522_-0.027424_-0.028326_-0.030130_-0.031032_-0.032837_-0.033739_-0.034641_-0.036445_-0.037347_-0.038249_-0.040053_-0.040955_-0.042760_-0.043662_-0.044564_-0.046368_-0.047270_-0.049074_-0.049976_-0.050878_-0.052682_-0.053585_-0.055389_-0.056291_-0.057193_-0.058997_-0.059899_-0.061703_-0.062605_-0.063508_-0.065312_-0.066214_-0.068018_-0.068920_-0.069822_-0.071626_-0.072528_-0.073430_-0.075235,0.035855_0.107566_0.143422_0.179277_0.250988_0.286843_0.358554_0.394410_0.430265_0.496828_0.522480_0.573702_0.599313_0.624924_0.676146_0.701758_0.752980_0.778591_0.804202_0.855424_0.881035_0.932257_0.957868_0.983479_1.034701_1.060312_1.085923_1.137145_1.162756_1.213978_1.239589_1.265200_1.316422_1.342034_1.393256_1.418867_1.444478_1.495700_1.521311_1.572533_1.598144_1.623755_1.674977_1.700588_1.751810_1.777421_1.803032_1.854254_1.879865_1.931087_1.956699_1.982310_2.033531_2.059142_2.084753_2.135975,-0.075235,-0.075235,2.135975,42.417590_42.431780_42.445470_42.459540_42.473500_42.487390_42.501330_42.515220_42.529910_42.542990_42.556960_42.570820_42.584810_42.598740_42.612590_42.626540_42.640590_42.654470_42.668370_42.682170_42.696470_42.710140_42.723950_42.737920_42.751790_42.765630_42.779660_42.793600_42.807570_42.821380_42.835460_42.849270_42.863170_42.877230_42.891230_42.905070_42.919000_42.932880_42.946900_42.960730_42.974650_42.988480_43.002460_43.016430_43.030380_43.044120_43.058090_43.072040_43.086090_43.100120_43.113820_43.127840_43.141860_43.155680_43.169650_43.183560,-0.001263,0.035855,0,-0.077031,2.157563,0.021662,0.048911,2.157563,0.126009,-0.075235,2.135975,20,42.37585,42.41,43.18356
projectile_experiment ,123,1,8,2,2,43.9075,46.24633,r,FALSE,To the left,projectile,-0.406963,-0.164,2.308,-10,0.125943,(-0.29_ 0.09_ 0.95),0,0,0,106.5989,96.59888,2.742862,-0.016616_-0.024924_-0.033232_-0.049848_-0.058156_-0.066464_-0.083080_-0.091388_-0.108004_-0.114751_-0.120692_-0.132561_-0.138495_-0.150363_-0.156298_-0.162232_-0.174100_-0.180035_-0.191903_-0.197837_-0.203772_-0.215640_-0.221574_-0.233443_-0.239377_-0.245311_-0.257180_-0.263114_-0.274983_-0.280917_-0.286851_-0.298720_-0.304654_-0.310588_-0.322457_-0.328391_-0.340260_-0.346194_-0.352128_-0.363997_-0.369931_-0.381800_-0.387734_-0.393668_-0.405537_-0.411471_-0.423340_-0.429274_-0.435208_-0.447077_-0.453011_-0.464879_-0.470814_-0.476748_-0.488616_-0.494551_-0.500485_-0.512353_-0.518288_-0.530156_-0.536090_-0.542025_-0.553893_-0.559827_-0.571696_-0.577630_-0.583564_-0.595433_-0.601367_-0.613236_-0.619170_-0.625104_-0.636972_-0.642907_-0.654775_-0.660709_-0.666644_-0.678512,0.052280_0.078420_0.104561_0.156841_0.182981_0.209121_0.261402_0.287542_0.339822_0.361053_0.379745_0.417088_0.435760_0.473103_0.491775_0.510446_0.547789_0.566461_0.603804_0.622475_0.641147_0.678490_0.697161_0.734504_0.753176_0.771847_0.809190_0.827862_0.865205_0.883876_0.902548_0.939891_0.958562_0.977234_1.014577_1.033249_1.070592_1.089263_1.107935_1.145278_1.163949_1.201292_1.219964_1.238635_1.275978_1.294650_1.331993_1.350664_1.369336_1.406679_1.425350_1.462693_1.481365_1.500036_1.537379_1.556051_1.574722_1.612065_1.630737_1.668080_1.686751_1.705423_1.742766_1.761438_1.798781_1.817452_1.836124_1.873467_1.892138_1.929481_1.948153_1.966824_2.004167_2.022839_2.060182_2.078853_2.097525_2.134868,-0.271549,-0.678512,2.134868,44.450300_44.464270_44.478140_44.492210_44.506020_44.519880_44.533790_44.547810_44.561690_44.575590_44.589710_44.603440_44.618270_44.631320_44.645170_44.659120_44.673160_44.686960_44.701000_44.715120_44.728700_44.742780_44.756630_44.770460_44.784450_44.798390_44.812290_44.826240_44.840150_44.854060_44.868000_44.881890_44.895810_44.909720_44.923630_44.937610_44.951560_44.965410_44.979310_44.993180_45.007360_45.021230_45.035000_45.049000_45.062880_45.076890_45.090720_45.104690_45.118520_45.132500_45.146470_45.160350_45.174270_45.188280_45.202080_45.216000_45.229820_45.243780_45.257690_45.271730_45.285550_45.299520_45.313380_45.327300_45.341400_45.355190_45.369180_45.383120_45.397020_45.410930_45.424790_45.438860_45.452650_45.466780_45.480630_45.494800_45.508270_45.522230,-0.001263,0.035855,0.205706,-0.077031,2.157563,0.601909,0.048911,2.157563,0.727777,-0.666644,2.097525,20,44.3808,44.44,45.52223
projectile_experiment ,123,1,9,2,3,46.24633,48.62689,r,TRUE,Hit,projectile,-0.840043,-0.164,2.308,-20,0.125943,(-0.34_ 0.10_ 0.93),0,0,0,110.0678,90.06778,2.788771,-0.019697_-0.029545_-0.039394_-0.059091_-0.068939_-0.088636_-0.098484_-0.108333_-0.128030_-0.136059_-0.150136_-0.157171_-0.164205_-0.178274_-0.185309_-0.192344_-0.206413_-0.213447_-0.227517_-0.234551_-0.241586_-0.255655_-0.262689_-0.276759_-0.283793_-0.290828_-0.304897_-0.311932_-0.326001_-0.333035_-0.340070_-0.354139_-0.361174_-0.375243_-0.382278_-0.389312_-0.403381_-0.410416_-0.417451_-0.431520_-0.438554_-0.452624_-0.459658_-0.466693_-0.480762_-0.487797_-0.501866_-0.508900_-0.515935_-0.530004_-0.537039_-0.551108_-0.558143_-0.565177_-0.579246_-0.586281_-0.600350_-0.607385_-0.614419_-0.628489_-0.635523_-0.649592_-0.656627_-0.663662_-0.677731_-0.684765_-0.691800_-0.705869_-0.712904_-0.726973_-0.734008_-0.741042_-0.755111_-0.762146_-0.776215_-0.783250_-0.790284_-0.804354,0.052182_0.078273_0.104364_0.156545_0.182636_0.234818_0.260909_0.287000_0.339181_0.360453_0.397747_0.416383_0.435020_0.472292_0.490929_0.509565_0.546838_0.565474_0.602747_0.621383_0.640019_0.677292_0.695929_0.733201_0.751838_0.770474_0.807747_0.826383_0.863656_0.882292_0.900928_0.938201_0.956837_0.994110_1.012746_1.031383_1.068655_1.087292_1.105928_1.143201_1.161837_1.199110_1.217746_1.236382_1.273655_1.292292_1.329564_1.348201_1.366837_1.404110_1.422746_1.460019_1.478655_1.497291_1.534564_1.553200_1.590473_1.609109_1.627746_1.665018_1.683655_1.720927_1.739564_1.758200_1.795473_1.814109_1.832746_1.870018_1.888655_1.925927_1.944564_1.963200_2.000473_2.019109_2.056381_2.075017_2.093654_2.130926,0.035689,-0.804354,2.130926,46.830990_46.844940_46.858820_46.872710_46.886650_46.900650_46.915560_46.928440_46.942230_46.956210_46.970160_46.984050_46.997990_47.011900_47.025840_47.039810_47.053710_47.067620_47.081680_47.095570_47.109480_47.123430_47.137400_47.151280_47.165260_47.179020_47.192860_47.206850_47.220770_47.234970_47.248650_47.262540_47.276440_47.290580_47.304340_47.318200_47.332240_47.346170_47.359990_47.373950_47.387920_47.401870_47.415670_47.429580_47.443530_47.457500_47.471430_47.485370_47.499240_47.513310_47.527040_47.541020_47.555060_47.568860_47.582780_47.596700_47.610630_47.624550_47.638470_47.652400_47.666310_47.680320_47.694110_47.708020_47.721920_47.736040_47.749790_47.763740_47.777660_47.791500_47.805450_47.819500_47.833330_47.847310_47.861170_47.875130_47.889020_47.903040,-0.001263,0.035855,0,-0.077031,2.157563,0.72781,0.048911,2.157563,0.853681,-0.804354,2.130926,25,46.77522,46.82,47.90304
projectile_experiment ,123,1,10,2,4,48.62689,50.75731,r,TRUE,Hit,projectile,-0.406963,-0.164,2.308,-10,0.125943,(-0.21_ -0.02_ 0.98),0,0,0,101.9251,91.92506,3.439987,-0.014307_-0.021460_-0.028614_-0.042920_-0.050074_-0.064381_-0.071534_-0.078688_-0.092994_-0.099077_-0.109304_-0.114413_-0.119523_-0.129742_-0.134852_-0.145071_-0.150180_-0.155290_-0.165509_-0.170619_-0.180838_-0.185947_-0.191057_-0.201276_-0.206386_-0.211495_-0.221714_-0.226824_-0.237043_-0.242153_-0.247262_-0.257481_-0.262591_-0.272810_-0.277920_-0.283029_-0.293248_-0.298358_-0.308577_-0.313687_-0.318796_-0.329016_-0.334125_-0.344344_-0.349454_-0.354563_-0.364783_-0.369892_-0.375002_-0.385221_-0.390330_-0.400550_-0.405659_-0.410769_-0.420988_-0.426098_-0.436317_-0.441426_-0.446536_-0.456755,0.067296_0.100944_0.134592_0.201887_0.235535_0.302831_0.336479_0.370127_0.437422_0.466032_0.514137_0.538171_0.562206_0.610274_0.634308_0.682377_0.706411_0.730445_0.778513_0.802548_0.850616_0.874650_0.898684_0.946753_0.970787_0.994821_1.042890_1.066924_1.114992_1.139027_1.163061_1.211129_1.235164_1.283232_1.307266_1.331301_1.379369_1.403404_1.451472_1.475506_1.499541_1.547609_1.571643_1.619712_1.643746_1.667780_1.715849_1.739883_1.763917_1.811986_1.836020_1.884089_1.908123_1.932157_1.980226_2.004260_2.052328_2.076363_2.100397_2.148465,-0.049792,-0.456755,2.148465,49.211720_49.225500_49.239480_49.253530_49.267500_49.281470_49.295310_49.309240_49.323000_49.337040_49.350930_49.364810_49.378800_49.392600_49.406650_49.421430_49.434450_49.448440_49.462330_49.476240_49.490240_49.504110_49.518150_49.531970_49.545880_49.559910_49.573780_49.587620_49.601740_49.615660_49.629390_49.643330_49.657230_49.671160_49.685060_49.699040_49.712990_49.726950_49.740760_49.754700_49.768690_49.782630_49.796420_49.810310_49.824310_49.838220_49.852160_49.866010_49.879990_49.893920_49.907790_49.921680_49.935610_49.949660_49.963550_49.977520_49.991320_50.005240_50.019250_50.033090,-0.001263,0.035855,0,-0.077031,2.157563,0.379833,0.048911,2.157563,0.505748,-0.456755,2.148465,30,49.15593,49.2,50.03309
